Método;Penalización voltaje (M€);Penalización corriente (M€);Pérdidas (M€);Penalización reactiva (M€);Coste técnico (M€);Cables (M€);Switchgears (M€);Transformadores (M€);Reactores (M€);Subestación (M€);Coste inversión (M€)
Mario - Potencia fija (SI compensación);0.0;56.4675505927366;114.93618729935386;5.96377055671411;177.36750844880459;133.18380511525748;0.3971;4.304771278737529;3.319284494890553;46.884;188.08896088888554
Mario - Potencia fija (NO compensación);97.64890352223637;276.89697111144335;205.85312930966427;549.1773559283018;1129.5763598716458;133.18380511525748;0.3971;4.304771278737529;0.0;46.884;184.76967639399498
Mario - Variable media (SI compensación);4.822411076422695;0.0;47.282746290837736;113.26524681313046;165.3704041803909;133.18380511525748;0.3971;6.238779155871113;4.150525160625997;18.037396018205257;162.00760544995984
Mario - Variable media (NO compensación);178.86652853459816;0.0;514.1830812771374;742.0759849237915;1435.125594735527;133.18380511525748;0.3971;6.238779155871113;0.0;18.037396018205257;157.85708028933385
Mario - Variable completa (SI compensación);86.30759657227652;0.0;101.49097475619608;58.412928606556235;246.21149993502883;133.18380511525748;0.39709999999999995;5.726096831068339;16.59051422463478;25.834384045556874;181.73190021651746
Mario - Variable completa (NO compensación);203.14961597364965;0.0;339.00782264158767;417.23826147623254;959.3957000914698;133.18380511525748;0.39709999999999995;5.726096831068339;0.0;25.834384045556874;165.14138599188266
