Método;Penalización voltaje (M€);Penalización corriente (M€);Pérdidas (M€);Penalización reactiva (M€);Coste técnico (M€);Cables (M€);Switchgears (M€);Transformadores (M€);Reactores (M€);Subestación (M€);Coste inversión (M€)
Mario - Potencia fija (SI compensación);0.0;0.0;112.76301800163797;44.44525136258193;157.20826936421992;133.18380511525748;0.3971;4.83213444306391;4.15048641303032;46.884;189.4475259713517
Mario - Potencia fija (NO compensación);80.09020657771522;186.6868182668159;198.7307792967664;530.3464035434545;995.8542076847519;133.18380511525748;0.3971;4.83213444306391;0.0;46.884;185.2970395583214
Mario - Variable media (SI compensación);2.4998033112811235;0.0;45.96636875462635;112.72788539359091;161.1940574594984;133.18380511525748;0.3971;7.034121620204834;16.5905259365744;18.037396018205257;175.24294869024197
Mario - Variable media (NO compensación);161.17304450862892;0.0;481.3518461680948;716.6476923608915;1359.1725830376151;133.18380511525748;0.3971;7.034121620204834;0.0;18.037396018205257;158.65242275366757
Mario - Variable completa (SI compensación);92.80101349358716;0.0;106.92058987668109;54.72687943556326;254.44848280583153;133.18380511525748;0.39709999999999995;6.706543773698142;16.590511701463598;25.834384045556874;182.71234463597608
Mario - Variable completa (NO compensación);192.36659065577024;0.0;332.03836176724633;403.7995406033891;928.2044930264055;133.18380511525748;0.39709999999999995;6.706543773698142;0.0;25.834384045556874;166.1218329345125
